Year,Ward code,Borough,Ward,Name,Party,Votes,Elected,Rank,Ballot position,Party position,Num candidates
2010,00ACGB,Barnet,Coppetts,"Wardle, Elizabeth R.",Lib Dem,1016,False,9,8,3,9
2010,00ACGC,Barnet,East Barnet,"Tambourides, Joanna",Cons,2882,True,1,9,3,9
2010,00ACGC,Barnet,East Barnet,"Evangeli, Barry",Cons,2818,True,2,5,1,9
2010,00ACGC,Barnet,East Barnet,"Rams, Robert P.",Cons,2813,True,3,8,2,9
2010,00ACGC,Barnet,East Barnet,"Persad, Robert",Lab,1675,False,4,7,3,9
2010,00ACGC,Barnet,East Barnet,"Ioannidis, Andreas",Lab,1557,False,5,6,2,9
2010,00ACGC,Barnet,East Barnet,"Chakraborti, Tusha",Lab,1547,False,6,4,1,9
2010,00ACGC,Barnet,East Barnet,"Aitken, Roger L.",Lib Dem,1347,False,7,1,1,9
2010,00ACGC,Barnet,East Barnet,"Barber, Stephen D.",Lib Dem,1155,False,8,2,2,9
2010,00ACGC,Barnet,East Barnet,"Bird, Dennis A.",Lib Dem,1105,False,9,3,3,9
2010,00ACGD,Barnet,East Finchley,"Moore, Alison",Lab,3315,True,1,6,2,9
2010,00ACGD,Barnet,East Finchley,"McNeil, Andrew R.",Lab,2931,True,2,5,1,9
2010,00ACGD,Barnet,East Finchley,"Rogers, Colin G.",Lab,2868,True,3,7,3,9
2010,00ACGD,Barnet,East Finchley,"Friend, Kit",Cons,1994,False,4,4,2,9
2010,00ACGD,Barnet,East Finchley,"Scott, John M.",Cons,1855,False,5,8,3,9
2010,00ACGD,Barnet,East Finchley,"Arram, Joyce M.",Lib Dem,1735,False,6,1,1,9
2010,00ACGD,Barnet,East Finchley,"Bhanderi-Shah, Aarti",Cons,1723,False,7,2,1,9
2010,00ACGD,Barnet,East Finchley,"Darrer, Gerald",Lib Dem,1397,False,8,3,2,9
2010,00ACGD,Barnet,East Finchley,"Watkins, Micky",Lib Dem,1237,False,9,9,3,9
2010,00ACGE,Barnet,Edgware,"Yawitch, Darrel",Cons,3917,True,1,9,3,9
2010,00ACGE,Barnet,Edgware,"Hart, Helena D.",Cons,3784,True,2,4,1,9
2010,00ACGE,Barnet,Edgware,"Scannell, Joan",Cons,3673,True,3,7,2,9
2010,00ACGE,Barnet,Edgware,"Johnston, John",Lab,2152,False,4,5,1,9
2010,00ACGE,Barnet,Edgware,"Sharma, Parmodh",Lab,1718,False,5,8,3,9
2010,00ACGE,Barnet,Edgware,"Narenthira, Nagus",Lab,1686,False,6,6,2,9
2010,00ACGE,Barnet,Edgware,"Abeles, Eli",Lib Dem,1044,False,7,2,2,9
2010,00ACGE,Barnet,Edgware,"Abeles, Aliza",Lib Dem,988,False,8,1,1,9
2010,00ACGE,Barnet,Edgware,"Gottsche, Sheila",Lib Dem,750,False,9,3,3,9
2010,00ACGF,Barnet,Finchley Church End,"Greenspan, Eva",Cons,3833,True,1,3,1,9
2010,00ACGF,Barnet,Finchley Church End,"Thomas, Daniel C.B.",Cons,3403,True,2,8,3,9
2010,00ACGF,Barnet,Finchley Church End,"Old, Graham D.",Cons,3340,True,3,6,2,9
2010,00ACGF,Barnet,Finchley Church End,"Segal, Oliver",Lab,1696,False,4,7,3,9
2010,00ACGF,Barnet,Finchley Church End,"Mcguirk, Mary",Lab,1652,False,5,4,1,9
2010,00ACGF,Barnet,Finchley Church End,"Mittra, Arjun K.",Lab,1515,False,6,5,2,9
2010,00ACGF,Barnet,Finchley Church End,"Davis, Malcolm B.",Lib Dem,1040,False,7,2,2,9
2010,00ACGF,Barnet,Finchley Church End,"Darrer, Diana D.",Lib Dem,952,False,8,1,1,9
2010,00ACGF,Barnet,Finchley Church End,"Yarwood, Sheila R.",Lib Dem,771,False,9,9,3,9
2010,00ACGG,Barnet,Garden Suburb,"Marshall, John L.",Cons,4243,True,1,5,2,9
2010,00ACGG,Barnet,Garden Suburb,"Harper, Andrew C.",Cons,4204,True,2,3,1,9
2010,00ACGG,Barnet,Garden Suburb,"Seal, Daniel G.",Cons,3976,True,3,8,3,9
2010,00ACGG,Barnet,Garden Suburb,"Byrne, Naomi",Lib Dem,1525,False,4,2,1,9
2010,00ACGG,Barnet,Garden Suburb,"Solomons, Janet F.",Lab,1339,False,5,9,3,9
2010,00ACGG,Barnet,Garden Suburb,"Lusher, Peter A.",Lib Dem,1259,False,6,4,2,9
2010,00ACGG,Barnet,Garden Suburb,"Boulton, Tony",Lab,1216,False,7,1,1,9
2010,00ACGG,Barnet,Garden Suburb,"Mcneil, Cordy",Lab,1116,False,8,6,2,9
2010,00ACGG,Barnet,Garden Suburb,"Motz, Simon T.",Lib Dem,1100,False,9,7,3,9
2010,00ACGH,Barnet,Golders Green,"Cohen, Dean S.B.",Cons,3259,True,1,2,1,9
2010,00ACGH,Barnet,Golders Green,"Cohen, Melvin",Cons,3051,True,2,3,2,9
2010,00ACGH,Barnet,Golders Green,"Thompstone, Reuben F.",Cons,2516,True,3,9,3,9
2010,00ACGH,Barnet,Golders Green,"Robinson, David",Lab,1451,False,4,7,2,9
2010,00ACGH,Barnet,Golders Green,"Levine, Paul",Lab,1446,False,5,5,1,9
2010,00ACGH,Barnet,Golders Green,"Robinson, Margot",Lab,1354,False,6,8,3,9
2010,00ACGH,Barnet,Golders Green,"Cohen, Ruth",Lib Dem,885,False,7,4,2,9
2010,00ACGH,Barnet,Golders Green,"Ang, Weng L.",Lib Dem,857,False,8,1,1,9
2010,00ACGH,Barnet,Golders Green,"Morrissey, Honora",Lib Dem,703,False,9,6,3,9
2010,00ACGJ,Barnet,Hale,"Davey, Thomas",Cons,3384,True,1,2,1,9
2010,00ACGJ,Barnet,Hale,"Gordon, Brian C.",Cons,3380,True,2,6,2,9
2010,00ACGJ,Barnet,Hale,"Rayner, Hugh R.",Cons,3174,True,3,8,3,9
2010,00ACGJ,Barnet,Hale,"Doyle, Eileen",Lab,2706,False,4,3,1,9
2010,00ACGJ,Barnet,Hale,"Elton, Daniel",Lab,2274,False,5,4,2,9
2010,00ACGJ,Barnet,Hale,"Rees, Hayes",Lab,1989,False,6,9,3,9
2010,00ACGJ,Barnet,Hale,"Creighton, James M.",Lib Dem,1279,False,7,1,1,9
2010,00ACGJ,Barnet,Hale,"Goodman, Michael",Lib Dem,1238,False,8,5,2,9
2010,00ACGJ,Barnet,Hale,"Jacobs, Geoffrey A.",Lib Dem,1008,False,9,7,3,9
2010,00ACGK,Barnet,Hendon,"Shooter, Mark R.",Cons,3366,True,1,9,3,9
2010,00ACGK,Barnet,Hendon,"Finn, Anthony H.",Cons,3345,True,2,6,2,9
2010,00ACGK,Barnet,Hendon,"Braun, Maureen",Cons,3115,True,3,3,1,9
2010,00ACGK,Barnet,Hendon,"Attwood, Linda R.",Lab,1692,False,4,1,1,9
2010,00ACGK,Barnet,Hendon,"Beere, David",Lab,1636,False,5,2,2,9
2010,00ACGK,Barnet,Hendon,"Jeanmaire, Pierre",Lab,1612,False,6,7,3,9
2010,00ACGK,Barnet,Hendon,"Davies, Jonathan M.",Lib Dem,874,False,7,4,1,9
2010,00ACGK,Barnet,Hendon,"Moleman, Jason M.",Lib Dem,804,False,8,8,3,9
2010,00ACGK,Barnet,Hendon,"Fernandes-Vidal, Anoushka",Lib Dem,765,False,9,5,2,9
2010,00ACGL,Barnet,High Barnet,"Prentice, Wendy",Cons,3499,True,1,7,3,9
2010,00ACGL,Barnet,High Barnet,"Perry, Bridget",Cons,3469,True,2,6,2,9
2010,00ACGL,Barnet,High Barnet,"Longstaff, David",Cons,3290,True,3,4,1,9
2010,00ACGL,Barnet,High Barnet,"Macdonald, Duncan C.",Lib Dem,2505,False,4,5,2,9
2010,00ACGL,Barnet,High Barnet,"Hooker, Sean J.",Lib Dem,2436,False,5,3,1,9
2010,00ACGL,Barnet,High Barnet,"Stern, Jonty",Lib Dem,1928,False,6,9,3,9
2010,00ACGL,Barnet,High Barnet,"Russell, Sue",Lab,1238,False,7,8,3,9
2010,00ACGL,Barnet,High Barnet,"Harding, Philip",Lab,1233,False,8,2,2,9
2010,00ACGL,Barnet,High Barnet,"Amaria, Erach",Lab,1136,False,9,1,1,9
2010,00ACGM,Barnet,Mill Hill,"Hart, John R.",Cons,3969,True,1,4,1,9
2010,00ACGM,Barnet,Mill Hill,"Khatri, Sury",Cons,3563,True,2,5,2,9
2010,00ACGM,Barnet,Mill Hill,"Schama, Brian",Cons,3513,True,3,8,3,9
2010,00ACGM,Barnet,Mill Hill,"Davies, Jeremy E.",Lib Dem,2507,False,4,3,2,9
2010,00ACGM,Barnet,Mill Hill,"Checchetto, Kim",Lib Dem,2342,False,5,1,1,9
